model,repeat,fold,n_test,n_positive,n_negative,fixed_params_from_primary_cv,auc,average_precision,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,mcc_at_0.5
Random forest,2,2,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6574074074074073,0.8359550590699483,0.203389656616709,0.717948717948718,0.611111111111111,0.75,0.8888888888888888,0.8135593220338984,0.2672612419124244
Gradient boosting,2,2,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5895061728395061,0.7600157943498489,0.20288850653467774,0.717948717948718,0.587962962962963,0.7352941176470589,0.9259259259259259,0.819672131147541,0.24287224646833397
Support vector machine,2,2,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.6358024691358025,0.8284947601859085,0.20737526544912604,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,2,3,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.4598765432098766,0.7181919132031556,0.2746591534019413,0.48717948717948717,0.4907407407407407,0.6842105263157895,0.48148148148148145,0.5652173913043478,-0.017099639201419235
Random forest,2,3,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6080246913580246,0.7503023726467888,0.2288507452740109,0.6153846153846154,0.5833333333333333,0.75,0.6666666666666666,0.7058823529411765,0.15811388300841897
Gradient boosting,2,3,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6388888888888888,0.7947869057802164,0.20730466430540995,0.6923076923076923,0.5925925925925926,0.7419354838709677,0.8518518518518519,0.7931034482758621,0.21166687833365083
Support vector machine,2,3,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.49691358024691357,0.6942605293840356,0.22472112896249166,0.6666666666666666,0.5046296296296297,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.016037507477489603
Penalized logistic regression,2,4,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.47115384615384615,0.7331631819822851,0.3013491881265529,0.47368421052631576,0.5256410256410257,0.7142857142857143,0.38461538461538464,0.5,0.049416621110740085
Random forest,2,4,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5416666666666667,0.7093685142725334,0.2404823540404486,0.6052631578947368,0.532051282051282,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.0657013773321203
Gradient boosting,2,4,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5448717948717948,0.7516348437580795,0.2392153780057282,0.6842105263157895,0.5448717948717949,0.7058823529411765,0.9230769230769231,0.8,0.13592873654160803
Support vector machine,2,4,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.45833333333333326,0.7127554632662163,0.22222199183629973,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
Penalized logistic regression,2,5,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.44230769230769235,0.6652303519808392,0.26063122443696046,0.5526315789473685,0.47115384615384615,0.6666666666666666,0.6923076923076923,0.6792452830188679,-0.059131239598908265
Random forest,2,5,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5993589743589743,0.7832801403274299,0.22845757845098005,0.6052631578947368,0.5096153846153846,0.6896551724137931,0.7692307692307693,0.7272727272727273,0.021025856676559002
Gradient boosting,2,5,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6442307692307693,0.8037852938553129,0.21846560041043298,0.6842105263157895,0.5897435897435898,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.20464687117164013
Support vector machine,2,5,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.4967948717948718,0.6974801629511084,0.22502914241781424,0.6842105263157895,0.5224358974358975,0.6944444444444444,0.9615384615384616,0.8064516129032258,0.09340808971963417
Penalized logistic regression,3,1,39,26,13,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5532544378698225,0.6797509786455321,0.24453097409637445,0.6666666666666666,0.6153846153846154,0.7407407407407407,0.7692307692307693,0.7547169811320755,0.23570226039551584
Random forest,3,1,39,26,13,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5917159763313609,0.7613760973641782,0.22181192278102232,0.6666666666666666,0.5769230769230769,0.7096774193548387,0.8461538461538461,0.7719298245614035,0.17960530202677488
Gradient boosting,3,1,39,26,13,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5340236686390532,0.6857517855183487,0.23596688599356333,0.6923076923076923,0.5961538461538461,0.71875,0.8846153846153846,0.7931034482758621,0.236227795630767
