model,fold,y_true,probability
Random forest,4,0,0.8416380058871671
Random forest,4,1,0.39251804421790343
Random forest,4,0,0.2761962415798165
Random forest,4,1,0.2303540212512921
Random forest,4,1,0.2634470609413621
Random forest,4,1,0.8813254706106478
Random forest,4,1,0.7251252903788349
Random forest,4,1,0.5808900094136298
Random forest,4,1,0.3561337607833271
Random forest,4,0,0.25592596878102447
Random forest,4,1,0.49561409917017907
Gradient boosting,4,0,0.5580447738088355
Gradient boosting,4,1,0.5587132347818683
Gradient boosting,4,1,0.3933941952663596
Gradient boosting,4,0,0.313835269379339
Gradient boosting,4,1,0.75192938783029
Gradient boosting,4,0,0.9355802340601495
Gradient boosting,4,1,0.7014745235775035
Gradient boosting,4,0,0.49579478727461274
Gradient boosting,4,1,0.04637390058874793
Gradient boosting,4,1,0.9840857202263709
Gradient boosting,4,1,0.9586564116254098
Gradient boosting,4,1,0.9830467338827905
Gradient boosting,4,0,0.8028240657252725
Gradient boosting,4,1,0.986706080124141
Gradient boosting,4,1,0.9785605816177967
Gradient boosting,4,0,0.5929200429249101
Gradient boosting,4,1,0.9621722428735937
Gradient boosting,4,1,0.8953769651696548
Gradient boosting,4,1,0.8205830930546766
Gradient boosting,4,0,0.8275962461908185
Gradient boosting,4,1,0.9905617514259414
Gradient boosting,4,0,0.9061612678168532
Gradient boosting,4,1,0.16944172314853645
Gradient boosting,4,1,0.8002307507085806
Gradient boosting,4,1,0.9065989480487753
Gradient boosting,4,1,0.8054122913791824
Gradient boosting,4,0,0.8466013350946382
Gradient boosting,4,0,0.9309938029548139
Gradient boosting,4,1,0.4738349551796244
Gradient boosting,4,0,0.28758975426783917
Gradient boosting,4,1,0.1951731638075526
Gradient boosting,4,1,0.17047952294139768
Gradient boosting,4,1,0.9850840695280868
Gradient boosting,4,1,0.9073637763677455
Gradient boosting,4,1,0.41576970646800526
Gradient boosting,4,1,0.3980572877674041
Gradient boosting,4,0,0.011189203738241029
Gradient boosting,4,1,0.8639134270014257
Support vector machine,4,0,0.5950155575124191
Support vector machine,4,1,0.7091654577063264
Support vector machine,4,1,0.6581206324881298
Support vector machine,4,0,0.6121688946100102
Support vector machine,4,1,0.7383621782370903
Support vector machine,4,0,0.7652910742839708
Support vector machine,4,1,0.7291576239947569
Support vector machine,4,0,0.678742847353273
Support vector machine,4,1,0.7413790037234953
Support vector machine,4,1,0.8397215302118742
Support vector machine,4,1,0.7794770501418175
Support vector machine,4,1,0.6897359917883211
Support vector machine,4,0,0.6976125177483647
Support vector machine,4,1,0.8269475636971991
Support vector machine,4,1,0.7063448549185115
Support vector machine,4,0,0.7384107319335971
Support vector machine,4,1,0.7090998841346777
Support vector machine,4,1,0.7649535803300823
Support vector machine,4,1,0.6076166276548832
Support vector machine,4,0,0.42343284663267966
Support vector machine,4,1,0.7641752525748385
Support vector machine,4,0,0.5369131338628468
Support vector machine,4,1,0.48400983323112196
Support vector machine,4,1,0.621268620010463
Support vector machine,4,1,0.6814489544020346
Support vector machine,4,1,0.7587551129070131
Support vector machine,4,0,0.7813640339954685
Support vector machine,4,0,0.6578113603022288
Support vector machine,4,1,0.6201019698541539
Support vector machine,4,0,0.49474475673886137
